순번,분류,이름,런치,디너,예약,소재지,Latitude,Longitude,링크
11,엔트리급,스시진수," 55,000 "," 85,000 ",캐치테이블,서울 서초구 서초중앙로24길 27 센트럴프라자,37.4954141,127.0164028,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%A7%84%EC%88%98/place/696659020?c=14138518.9033949,4508370.5838021,14,0,0,0,dh"
12,미들급,스시키," 55,000 "," 110,000 ",캐치테이블,서울 강남구 선릉로107길 3-4 운경빌딩,37.5088515,127.0438408,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%82%A4/place/38576093?c=14141994.4756314,4510279.0374017,15,0,0,0,dh"
13,엔트리급,스시소라 서초," 55,000 "," 100,000 ",캐치테이블,서울 서초구 서초대로 254 오퓨런스빌딩 104호,37.4919821,127.0096086,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%86%8C%EB%9D%BC/place/1350801663?c=14138184.4913961,4507915.5446181,15,0,0,0,dh&placePath=%3F%2526"
14,엔트리급,스시카네," 66,000 "," 100,000 ",전화,서울 서초구 서초중앙로26길 6 린빌딩,37.4953178,127.0139207,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%B9%B4%EB%84%A4/place/1290723836?c=14138189.2687104,4508370.5838021,14,0,0,0,dh"
15,엔트리급,스시소라 대치," 55,000 "," 100,000 ","포잉(일부좌석), 전화",서울 강남구 대치동 894,37.5043669,127.0546834,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%86%8C%EB%9D%BC/place/832737607?c=14143203.0600345,4509646.1267116,15,0,0,0,dh"
16,엔트리급,스시카와," 55,000 "," 80,000 ",확인필요,서울 강남구 논현로26길 29,37.4831159,127.0446438,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%98%A4%EB%A7%88%EC%B9%B4%EC%84%B8/place/37883085?c=14138814.4743231,4506667.7984451,13,0,0,0,dh"
17,엔트리급,스시산원 청," 60,000 "," 90,000 ",전화,서울 강남구 논현로85길 52 역삼푸르지오시티 2층 205-1호,37.4980124,127.0338301,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%82%B0%EC%9B%90%20%EC%B2%AD/place/38491257?c=14140649.5855583,4508666.7772867,14,0,0,0,dh&isCorrectAnswer=true"
18,엔트리급,스시쇼우키," 50,000 "," 100,000 ",전화,서울 강남구 언주로93길 22-5 도영빌딩 1층,37.5037639,127.0398081,"https://map.naver.com/v5/search/%EC%87%BC%EC%9A%B0%ED%82%A4/place/36605038?c=14141080.1589981,4509563.8324321,14,0,0,0,dh"
19,미들급,스시윤슬," 80,000 "," 160,000 ",전화 / 문자,서울 서초구 서초대로 266 B101호,37.4925,127.0109881,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9C%A4%EC%8A%AC/place/1892304255?c=14138669.3887943,4507944.2085037,16,0,0,0,dh"
20,미들급,스시욘즈," 65,000 "," 130,000 ",전화,서울 강남구 삼성로96길 11 1층,37.5089169,127.0567955,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%9A%98%EC%A6%88/place/1757890886?c=14143735.7305753,4510239.7080094,16,0,0,0,dh"
21,미들급,스시쇼우," 70,000 "," 140,000 ",전화,서울 서초구 사평대로22길 17 2층,37.4987408,126.9978583,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%87%BC%EC%9A%B0/place/1388115676?c=14136407.3304885,4508862.6471717,14,0,0,0,dh"
22,미들급,스시아오미츠," 60,000 "," 120,000 ",캐치테이블,서울 강남구 테헤란로78길 16 지하1층 12호,37.5050235,127.0553255,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%95%84%EC%98%A4%EB%A7%88%EC%B8%A0/place/1051920261?c=14142805.4743119,4509742.0853390,15,0,0,0,dh&entry=plt&isCorrectAnswer=true"
23,미들급,스시고," 65,000 "," 140,000 ",캐치테이블,서울 서초구 사평대로22길 15,37.4988905,126.9978699,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EA%B3%A0/place/18289522?c=14136412.1078028,4508881.7564288,14,0,0,0,dh"
24,엔트리급,김수사," 50,000 "," 80,000 ",전화예약,서울 강남구 도산대로 132 해정빌딩,37.5215969,127.0357429,"https://map.naver.com/v5/search/%EA%B9%80%EC%88%98%EC%82%AC/place/11673211?c=14139225.9459065,4511442.3968763,14,0,0,0,dh"
25,미들급,스시오마주," 65,000 "," 120,000 ",캐치테이블,서울 강남구 강남대로152길 67 지하1층 102호,37.5189645,127.0245102,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%98%A4%EB%A7%88%EC%A3%BC/place/1730079135?c=14140199.3236886,4511591.6879472,16,0,0,0,dh"
26,미들급,스시한," 60,000 "," 120,000 ",확인필요,서울 서초구 서초대로51길 11 2층,37.4949682,127.0140282,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%95%9C/place/1496024487?c=14138671.9056537,4508332.0997506,15,0,0,3,dh&placePath=%3Fentry%253Dbmp"
27,미들급,스시사키," 60,000 "," 120,000 ",캐치테이블,서울 강남구 강남대로154길 21,37.5179761,127.020816,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%82%AC%ED%82%A4/place/1751287981?c=14139437.4831877,4511567.6999318,15,0,0,0,dh"
28,미들급,스시하쿠샤," 60,000 "," 120,000 ",네이버예약,서울 강남구 테헤란로81길 58-4 지상 2층,37.5103203,127.0560607,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%95%98%EC%BF%A0%EC%83%A4/place/1078328581?c=14140093.2774399,4510483.5169493,12,0,0,0,dh"
29,미들급,구루메스시," 60,000 "," 120,000 ",캐치테이블,서울 강남구 학동로4길 15 116호,37.5092726,127.0239086,"https://map.naver.com/v5/search/%EA%B5%AC%EB%A3%A8%EB%A9%94%EC%8A%A4%EC%8B%9C/place/20798498?c=14139264.1644207,4510506.0432798,14,0,0,0,dh"
30,미들급,스시려 프리미엄," 70,000 "," 140,000 ",전화,서울 서초구 효령로77길 34 아크로텔 2층 206호,37.4920099,127.0288299,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EC%98%A4%EB%A7%88%EC%B9%B4%EC%84%B8/place/632756723?c=14140315.1735596,4507878.5204325,15,0,0,0,dh"
31,미들급,스시나미키," 80,000 "," 160,000 ",확인필요,서울 강남구 학동로 338 강남파라곤 S동 103호 1F,37.5164665,127.0404191,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%EB%82%98%EB%AF%B8%ED%82%A4/place/741700898?c=14141117.7623566,4511356.4052195,14,0,0,0,dh"
32,미들급,스시타노," 70,000 "," 140,000 ",캐치테이블,서울 서초구 서래로5길 30 2층,37.4979452,126.9964813,"https://map.naver.com/v5/search/%EC%8A%A4%EC%8B%9C%ED%83%80%EB%85%B8/place/35906570?c=14136254.4564319,4508752.7689435,14,0,0,0,dh"
